code,detail
97coo/alb,"Coombs, D.S., Alberti, A., Armbruster, T., Artioli, G., Colella, C., Galli, E., Grice, J.D., Liebau, F., Mandarino, J.A., Minato, H., Nickel, E.H., Passaglia, E., Peacor, D.R., Quartieri, S., Rinaldi, R., Ross, M., Sheppard, R.A., Tillmanns, E., Vealini, G., 1997. Recommended nomenclature for zeolite minerals - report of the subcommittee on zeolites of the international mineralogical association, commission on new minerals and mineral names. Canadian Mineralogist, 35, 1571-1606."
89cox/wag,"Cox J.D., Wagman D.D., and Medvedev V.A., 1989. CODATA Key Values for Thermodynamics. Hemisphere Publishing Corp., New York, 279 p."
95dac/ben,"Dachs, E. and Benisek, A., 1995. The stability of annite+quartz: reversed experimental data for the reaction 2 annite+3 quartz=2 sanidine+3 fayalite+2 H2O. Contributions to Mineralogy and Petrology, 121, p. 380-387."
95dai/pos,"Dai, Y., and Post, J. E,. 1995, Crystal structure of hillebrandite: a natural analogue of calcium silicate hydrate (CSH) phases in Portland cement: American Mineralogist, v. 80, p. 841-844."
82dek,"DeKock, C.W., 1982, Thermodynamic properties of selected transition metal sulfates and their hydrates: U.S. Bur. Mines Info. Circ. 8910, 45 p."
03dea,"Dean J.A. 2003. Lange's Handbook of chemistry, 2nd edition. Science and technology press: Beijing (in Chinese)."
76del/hep,"Dellien I. and Hepler L.G., 1976b. Enthalpies of formation of Cr3+(aq) and the inner sphere complexes CrF2+(aq), CrCl2+(aq), CrBr2+(aq), and CrSO4+(aq). Can. J. Chem., 54, p.1383-1387."
56den/tay,"Dent, L. S., and Taylor, H. F. W., 1956, The dehydration of Xonotlite: Acta Crystallographica, v. 9, p. 1002-1004."
06deo/nav,"Deore S., and Navrotsky A., 2006. Oxide melt solution calorimetry of sulfides: Enthalpy of formation of sphalerite, galena, greenockite, and hawleyite. American Mineralogist, 91, p. 400 403."
03dro/nav,"Drouet C, Navrotsky A (2003) Synthesis, characterization and thermochemistry of K-Na-H3O jarosites. Geochim Cosmochim Acta 67:2063-2076"
79ede/sat,"Ederova, J., and Satava, V., 1979, Heat capacities of C3AH6, C4ASH12 and C6AS3H32: Thermochimica Acta, v. 31, p. 126-128"
66ega/wak,"Egan E.P., Wakefield Z.T., 1966, Low temperature, heat capacity and entropy of variscite, AlPO4.2H2O, 10 to 310K. J. Chem. Eng. Data, 11, 610-611"
04eva,"Evans B. (2004) The serpentine multisystem revisited: Chrysotile is metastable, International Geology Review, 46, 479-506"
04fab/sax,"Fabrichnaya O., Saxena S.K., Richet P. and Westrum E.F. (Eds), 2004. Thermodynamic data, models, and phase diagrams in multicomponent oxide systems. ISBN 3-540-14018-2 Springer Verlag Berlin Heidelberg New York, 198 p."
98fel/dix,"Felmy A.R., Dixon D.A., Rustad J.R., Mason M.J. and Onishi L.M., 1998. The Hydrolysis and Carbonate Complexation of Strontium and Calcium in Aqueous Electrolytes: Use of Molecular Modeling Calculations in the Development of Aqueous Thermodynamic Models. J. Chem. Thermodynamics, 30, p. 1103-1120"
87fer,"Fernandez Guillermet A. (1987) Critical evaluation of the thermodynamic properties of cobalt. Int. J. Thermophys., 8 (4), 481-510"
76fer/stu,"Ferrante M.J., Stuve J.M. and Richardson D.W., 1976. Thermodynamic data for synthetic dawsonite. U.S. Bur. Mines Rept. Inv., 5, 577-582"
01fia/nav,"Fialips C.-I., Navrotsky A. and Petit S. (2001) - Crystal properties and energetics of synthetic kaolinite. American Mineralogist, 86, p. 304.311."
05for/dro,"Forray, F.L., Drouet, C, Navrotsky, A. (2005) Thermochemistry of yavapaiite KFe(SO4)2: Formation and decomposition. Geochimica et Cosmochimica Acta 69(8), 2133-2140"
01fri/neu,"Fridriksson, T., Neuhoff, P. S., Arnorsson, S., and Bird, D. K., 2001, Geological constraints on the thermodynamic properties of the stilbite-stellerite solid solution in low-grade metabasalts. Geochimica Cosochimica Acta, v. 65, p. 3993-4008."
04gab/vie,"Gaboreau S. and Vieillard Ph. (2004).  Prediction of Gibbs free energies of formation of minerals of the alunite supergroup. Geochimica and Cosmochimica Acta, 68, 3307-3316"
09gai,"Gailhanou H. (2009) : Thermochimie : Acquisition des proprietes thermodynamiques d'une nontronite, d'une beidellite et revision des donnees de la saponite Sap-Ca-1. Rapport final BRGM/RP-57797-FR"
13gai/bla,"Gailhanou, H., Blanc, P., Rogez, J., Mikaelian, G., Horiuchi, K., Yamamura, Y., Saito, K., Kawaji, H., Warmont, F., Greneche, J.-M., Vieillard, P., Fialips, C.I., Giffaut, E., Gaucher, E.C., 2013. Thermodynamic properties of saponite, nontronite, and vermiculite derived from calorimetric measurements. American Mineralogist 98, 1834-1847."
12gai/bla,"Gailhanou, H., Blanc, P., Rogez, J., Mikaelian, G., Kawaji, H., Olives, J., Amouric, M., Denoyel, R., S., B., Montouillout, V., Vieillard, P., Fialips, C. I., Giffaut, E., Michau, N., and Gaucher, E. C., 2012, Thermodynamic properties of illite IMt-2, smectite MX-80 and beidellite SBld-1 by calorimetric methods: Enthalpies of formation, heat capacities , entropies and Gibbs free energies of formation. : Geochimica Cosmochimica Acta, v. 89, p. 279-301."
19gai/bla,"Gailhanou, H., Blanc, P., Rogez, J., Mikaelian, G., Kawaji, H., Olives, J., Montouillout, V., Greneche, J.M., Vieillard, P., Gaucher, E.C., Fialips, C.I., Made, B., 2019. Thermodynamic properties of mixed-layer illite-smectite by calorimetric methods: Acquisition of the enthalpies of mixing of illite and smectite layers. The Journal of Chemical Thermodynamics 138, 78-97."
09gai/rog,"Gailhanou, H., Rogez, J., van Miltenburg, J.C., van Genderen, A.C.G., Greneche, J.M., Gilles, C., Jalabert, D., Michau, N., Gaucher, E.C., Blanc, P., 2009. Thermodynamic properties of chlorite CCa-2. Heat capacities, heat contents and entropies. Geochimica et Cosmochimica Acta 73, 4738-4749."
05gam/bug,"Gamsjager, H., Bugajski, J., Gajda, T., Lemire, R., 2005. Chemical Thermodynamics of Nickel. Elsevier Science."
CODATA87,"Garvin D., Parker V.B and White H.J., 1987. CODATA Series on Thermodynamic Properties, Hemisphere, Washington, DC."
01gas/aza,"Gaskova O., Azaroual M., Piantone, P., Lassin A. (2001) - Arsenic behaviour in subsurface hydrogeochemical systems - A critical review of thermodynamic data forarsenic minerals and aqueous species - A compilation of arsenic surface complexation reactions. BRGM Report RP-51356-FR, 78 p."
98gla/tyr,"Glasser, F. P., Tyrer, M., Quillin, K., Ross, D., Pedersen, J., Goldthorpe, K., Bennett, D., and Atkins, M., 1998, The chemistry of blended cements and backfills intended for use in radioactive waste disposal: Research and development Technical Report P98, UK Environment Agency, 332 p."
97got,"Gottschalk M. (1997) Internally consistent thermodynamic data set for rock forming minerals in the system SiO2-TiO2-Al2O3-Fe2O3-CaO-MgO-FeO-K2O-Na2O-H2O-CO2: an alternative approach. European Journal of Mineralogy, 9, p. 175-223."
99gra,"Grauer R., 1999. Solubility products of M(II) carbonates. Waste Management laboratory, PSI Bericht Nr. 99-04 January 1999 ISSN 1019-0643."
07gre/per,"Green, D., Perry, R., 2007. Perry's Chemical Engineers' Handbook, Eighth Edition. McGraw-Hill Education."
76gro/wes,"Gronvold and Westrum, 1976. F. Gronvold and E.F. Westrum, Heat capacities of iron disulfides. Thermodynamics of marcasite from 5 to 700 K, pyrite from 300 to 780 K, and the transformation of marcasite to pyrite. J. Chem. Therm. 8 (1976), pp. 1039-1048"
00gun/arn,"Gunnarson I., and Arnorsson S., 2000. Amorphous silica solubility and the thermodynamic properties of H4SiO4 in the range of 0 to 350C at Psat. Geochimica et Cosmochimica Acta, 64, p. 2295-2307."
84har/mol,"Harvie C.E., Moller N., and Weare J.H.. 1984, The prediction of mineral solubilities in natural waters: The Na-K-Mg-Ca-H-Cl-SO4-OH-HCO3-CO3-CO2-H2O system to high ionic strengths at 25 C. Geochimica Cosmochimica Acta, 48, pp. 723-751."
80har/wea,"Harvie C.E., and Weare J.H., 1980. The prediction of mineral soluhilities in natural waters: the Na K Mg Ca Cl SO4 H2O system from zero to high concentration at 25C. Geochimica et Cosmochimica Acta, 44, p. 981 997."
95has/cyg,"Haselton H.T., Cygan G.L. and Jenkins D.M., 1995. Experimental study of muscovite stability in pure H 2 O and 1 molal KCl-HCl solutions. Geochimica et Cosmochimica Acta, 59, p. 429-442"
78hel/del,"Helgeson, H.C., Delany, J.M, Nesbitt, H.W., and Bird, D.K., 1978. Summary and Critique of the Thermodynamic Properties of Rock Forming Minerals: Amer. J. Sci., 278A, 229 pp."
90hem,"Hemingway B. S. (1990) Thermodynamic properties for bunsenite, NiO, magnetite, Fe3O4, and hematite, Fe2O3, with comments on selected oxygen buffer reactions. American Mineralogist 75(7-8), 781-790."
73hem/rob,"Hemingway B. S. and Robie R. A., 1973. A calorimetric determination of the standard enthalpies of formation of huntite, CaMg3(CO3)4, and artinite, Mg2(OH)2CO3 z 3 H2O, and their standard Gibbs free energies of formation. J. Res. U.S. Geol. Survey, 1, pp. 535-541."
73rob/hem,"Hemingway B. S. and Robie R. A., 1973. A calorimetric determination of the standard enthalpies of formation of huntite, CaMg3(CO3)4, and artinite, Mg2(OH)2CO3 z 3 H2O, and their standard Gibbs free energies of formation. J. Res. U.S. Geol. Survey, 1, pp. 535-541."
72hem/rob,"Hemingway B.S. and Robie R.A., 1972. The heat capacities at low temperatures and entropies at 298.15 K of huntite, CaMg3(CO3)4, and artinite, Mg2(OH)2CO3 z 3 H2O. Am. Mineral., 57, pp. 1754-1767."
02hem/sea,"Hemingway, B.S., Seal, R.R., II, and Chou, I-M. (2002) Thermodynamic data for modeling acid mine drainage problems. Part I. Selected soluble iron-sulfate minerals. U.S. Geological Survey Open File Report 02 - 161, 13 p."
90hol/pow,"Holland T. J. B. and Powell R. (1990) An enlarged and updated internally consistent thermodynamic dataset with uncertainties and correlations: the system K2O-Na2O-CaO-MgO-MnO-FeO-Fe2O3-Al2O3-TiO2-SiO2-C-H2-O2. Journal of Metamorphic Geology 8(1), 89-124."
98hol/pow,"Holland T.J.B., and Powell R., 1998. An internally consistent thermodynamic data set for phases of petrological interest. Journal of Metamorphic Geology, 16, p. 309 343."
09hon,"Honerlage, B., 2009. CuF: lattice constants, in: Roessler, U. (Ed.), New Data and Updates for I-VII, III-V, III-VI and IV-VI Compounds. Springer Berlin Heidelberg, Berlin, Heidelberg, pp. 149-149."
76hou/ste,"Houtepen, C. J. M., and Stein, H. N., 1976, The enthalpies of formation and of dehydration of some AFm phases with singly charged anions: Cement and Concrete Research, v. 6, p. 651-658"
73hul/tur,"Hull H. and Turnbull A.J., 1973, A thermochemical study of monohydrocalcite. Geochim. Cosmochim. Acta, 37, 685-694"
73hul/des,"Hultgren R., Desai P. D., Hawkins D. T., Gleiser M., Kelly K. K. and Wagman D. (1973) Selected Values of the Thermodynamic Properties of the Elements. Metals Park, Ohio, AMS."
41hum/sto,"Hume D.H. and Stone H.W. 1941. The apparent solubility product of chromous hydroxide. The significance of the solubility products of hydroxides of the metals with form basic salts. J. Am. Chem. Soc., 63 p. 1197-1199."
85jac/hel,"Jackson, K.J., and Helgeson, H.C., 1985, Chemical and thermodynamic constraints on the hydrothermal transport and deposition of tin: II. Interpretation of phase relations in the Southeast Asian tin belt: Econ. Geol., v. 80, no. 5, pp. 1365-1378."
95jem/che,"Jemal M., Ben Cherifa A., Kattech I. and Ntahomvukiye I., 1995. Standard enthalpies of formation and mixing of hydroxy- and fluorapatites. Thermochimica Acta, 259, p. 13-21"
82joh/flo,"Johnson G. K., Flotow H. E., O'Hare P. A. G., and Wise W. S. (1982) Thermodynamic studies of zeolites : analcime and dehydrated analcime. American Mineralogist 67, 736-748."
83joh/flo,"Johnson G. K., Flotow H. E., and O'Hare P. A. G. (1983) Thermodynamic studies of zeolites:natrolite mesolite and scolecite. American Mineralogist 68, 1137-1145"
92joh/tas,"Johnson G. K., Tasker I. R., Flotow H. E., and O'Hare P. A. G. (1992) Thermodynamic studies of mordenite,dehydrated mordenite and gibbsite. American Mineralogist 77(1-2), 85-93"
01kal/mar,"Kahl W.A. and Maresch W.V., 2001. Enthalpies of formation of tremolite and talc by high-temperature solution calorimetry-a consistent picture. American Mineralogist, 86, p. 1345-1357"
75kas/bor,"Kashkai C. M., Borovskaya Y. B., and Badazade M. A. (1975) Determination of DGf,298 of synthetic jarosite and its sulfate analogues. Geokhimiya 7, 771-783 (in Russian)."
61kel/kin,Kelley K.K. and King E.G. (1961) U.S. Bureau of Mines Bulletin 500
60kel,"Kelley, K.K., 1960, Contributions to the Data in Theoretical Metallurgy XIII: High Temperature Heat Content, Heat Capacities and Entropy Data for the Elements and Inorganic Compounds. U.S. Bureau of Mines Bulletin 584, 232 p."
05kin/par,"Kim T.G. and Park B., 2005. Synthesis and Growth Mechanisms of One-Dimensional Strontium Hydroxyapatite Nanostructures. Inorganic chemistry, 44, p. 9895-9901"
96kis/nav,"Kiseleva I., Navrotsky A., Belitskii I. A., and Fursenko B. A. (1996) Thermochemistry and phase equilibria in calcium zeolites. American Mineralogist 81(5-6), 658-667"
42kol/per,"Koltoff I.M., Perlich R.W. and Weiblen D., 1942. Solubility of lead sulfate and lead oxalate in various media. J. Phys. Chem, 46, p. 561."
99kon/kon,"Konigsberger E., Konisberger L.C., and Gamsjager H., 1999. Low temperature thermodynamic model for the system Na2CO3 MgCO3 CaCO3 H2O. Geochimica et Cosmochimica Acta, 63, p. 3105-3119."
84pan/stu,"L.B. Pankratz, J.M. Stuve, and N.A. Gokcen, 'Thermodynamic Data for Mineral Technology,' Bulletin 677, U.S. Bureau of Mines (1984)."
06lan/mah,"Langmuir D, Mahoney J, Rowson J (2006) Solubility products of amorphous ferric arsenate and crystalline scorodite (Fe- AsO4_2H2O) and their application to arsenic behavior in buried mine tailings. Geochim Cosmochim Acta 70:2942-2956"
18las/bla,"Lassin, A., Blanc, P., 2018. Thermoddem : selection des proprietes thermodynamiques des complexes aqueux et des mineraux porteurs de zinc, p. 42."
14las/pia,"Lassin, A., Piantone, P., Crouzet, C., Bodenan, F., Blanc, P., 2014. Estimated thermodynamic properties of NaFeS2 and erdite (NaFeS2:2H2O). Applied Geochemistry 45, 14-24. doi:10.1016/j.apgeochem.2014.02.015"
52lat,"Latimer W.M., 1952. Oxidation states of the elements and their potentials in aqueous solution, Prentice Hall, New Jersey,.392 pp."
53leu/kho,"Leussing, D.L., Kholtoff, I.M. (1953) The solubility product of ferrous and the ionization of aquo-ferrous ion. J. Amer. Chem. Soc. 75, 2476-2479."
01mer/vie,"Lionel Mercury, Philippe Vieillard, Yves Tardy, 2001. Thermodynamics of ice polymorphs and 'ice-like' water in hydrates and hydroxides. Applied Geochemistry, Volume 16, Issue 2, February 2001, Pages 161-181"
99lot/och,"Lothenbach B., Ochs M., Wanner H., and Yui M., 1999. Thermodynamic data for the speciation and solubility of Pd, Pb, Sn, Sb, Nb and Bi in aqueous solution. JNC TN8400 99 011."
00lyd,"Lyde D.R., 2000. CRC Handbook of Chemistry and Physics, 2000-200. CRC Press"
11maj/dra,"Majzlan J, Drahota P, Filippi M, Novak M, Loun J and Grevel K-D 2011. Thermodynamics of Crystalline iron(III) Arsenates Scorodite, Kankite, and Bukovskyite. Goldschmidt 2011 Conference Abstract 1391"
04maj/nav,"Majzlan, J., Navrotsky, A., Schwertmann, U. (2004) Thermodynamics of iron oxides: Part III. Enthalpies of formation and stability of ferrihydrite (~Fe(OH)3), schwertmannite (~FeO(OH)3/4(SO4)1/8), and e-Fe2O3. Geochimica et Cosmochimica Acta 68, 1049-1059"
05maj/nav,"Majzlan, J., Navrotsky, A., Stevens, R., Donaldson, M., Woodfield, B.F., Boerio-Goates, J. (2005) Thermodynamics of monoclinic Fe2(SO4)3. Journal of Chemical Thermodynamics 37, 802-809"
04maj/ste,"Majzlan, J., Stevens, R., Boerio-Goates, J., Woodfield, B.F., Navrotsky, A., Burns, P.C., Crawford, M.K., Amos, T.G. (2004) Thermodynamic properties, low-temperature heat capacity anomalies, and single crystal X-ray refinement of hydronium jarosite, (H3O)Fe3(SO4)2(OH)6. Physics and Chemistry of Minerals 31, 518-531"
03maj/gre,"Majzlan., J., Grevel, K.-D., Navrotsky, A., (2003) Thermodynamics of iron oxides. H. Enthalpies of formation and relative stability of goethite (a-FeOOH), lepidocrocite (y-FeOOH), and maghemite (y-Fe2O3). American Mineralogist 88, 855-859."
52meg,"Megaw D., 1952, The structure of afwillite, Ca3(SiO3OH)2*2H2O, Locality: Scawt Hill, Northern Ireland, Act. Cryst.D60, v. 5, p. 477-495."
76men/sab,"Menchetti S., Sabelli C. (1976) Neues Jb. Miner., Mh., H.9, 406-417"
00mer/bon,"Merlino, S., Bonaccorsi, E., and Armbruster, T., 2000, The real structure of clinotobermorite and tobermorite 9 A: OD character, polytypes, and structural relationships: European Journal of Mineralogy, v. 12, p. 411-429."
83miy/kle,"Miyano T, Klein C (1983 a) Phase relations of orthopyroxene, olivine, and grunerite in high-grade metamorphic iron-formation.Am Mineral 68:699-716"
70moo/tay,"Moore A.E., Taylor H.F.W., 1970.  Acta Cryst., B26, 386-393"
NIST46.4,"NIST (1997) Critical stability constants of metal complexes database, NIST Standard Reference Database 46, v4.0. Website: http://www.nist.gov/srd/nist46.htm"
